Placa;SVC Implantação;Regional;Modal;Locadora;Modelo;Cronograma Planejamento;Previsão Final Entrega;Entregue
UCN5I89;SES2 - Cachoeiro do Itapemirim;RJ/ES;Vuc;LM;VW Delivery Express - 4x2 - 3.600mm;Junho;27/08/2026;27/08/2026
UCO0B60;SES2 - Cachoeiro do Itapemirim;RJ/ES;Vuc;LM;VW Delivery Express - 4x2 - 3.600mm;Junho;28/08/2026;28/08/2026
UDC6J75;SRJ8 - Itaboraí (Niterói);RJ/ES;Vuc;LM;VW Delivery Express - 4x2 - 3.600mm;Junho;12/06/2026;12/06/2026
UFI2I06;SRJ8 - Itaboraí (Niterói);RJ/ES;Vuc;LM;VW Delivery Express - 4x2 - 3.600mm;Junho;09/06/2026;08/06/2026
TZO8I81;SRJ8 - Itaboraí (Niterói);RJ/ES;Vuc;LM;Daily 35-160 CS EE 3750;Junho;12/06/2026;10/06/2026
UDL1B21;SRJ8 - Itaboraí (Niterói);RJ/ES;Vuc;LM;VW Delivery Express - 4x2 - 3.600mm;Junho;06/05/2026;03/06/2026
UCN5I81;SES2 - Cachoeiro do Itapemirim;RJ/ES;Vuc;LM;VW Delivery Express - 4x2 - 3.600mm;Julho;27/08/2026;27/08/2026
UCM6C20;SRJ8 - Itaboraí (Niterói);RJ/ES;Vuc;LM;VW Delivery Express - 4x2 - 3.600mm;Julho;20/08/2026;20/08/2026
UDD2F67;SMG3 - Pouso Alegre;MG;Van;TKS;DAILY 30VAN;Maio;26/06/2026;26/06/2026
UGQ5E06;SMG3 - Pouso Alegre;MG;Van;TKS;DAILY 30VAN;Maio;26/06/2026;26/06/2026
UGE6I11;SMG3 - Pouso Alegre;MG;Van;TKS;DAILY 30VAN;Maio;11/06/2026;11/06/2026
EKP2A86;SMG3 - Pouso Alegre;MG;Van;TKS;DAILY 30VAN;Maio;03/06/2026;03/06/2026
UFY3A87;SRJ10 - RJ Taquara (Barra);RJ/ES;Van;TKS;DAILY 30VAN;Maio;15/07/2026;15/07/2026
UDJ5F85;SRJ10 - RJ Taquara (Barra);RJ/ES;Van;TKS;DAILY 30VAN;Maio;15/07/2026;15/07/2026
UGT4I35;SRJ10 - RJ Taquara (Barra);RJ/ES;Van;TKS;DAILY 30VAN;Maio;15/07/2026;15/07/2026
UFS2F07;SRJ10 - RJ Taquara (Barra);RJ/ES;Van;TKS;DAILY 30VAN;Maio;15/07/2026;15/07/2026
UGD7H04;SRJ10 - RJ Taquara (Barra);RJ/ES;Van;TKS;DAILY 30VAN;Maio;15/07/2026;15/07/2026
UFR5D56;SRJ10 - RJ Taquara (Barra);RJ/ES;Van;TKS;DAILY 30VAN;Maio;15/07/2026;15/07/2026
UCE5E77;SMG3 - Pouso Alegre;MG;Van;TKS;DAILY 30VAN;Agosto;17/07/2026;24/07/2026
UCE5B49;SMG3 - Pouso Alegre;MG;Van;TKS;DAILY 30VAN;Agosto;17/07/2026;24/07/2026
UCE5C45;SMG3 - Pouso Alegre;MG;Van;TKS;DAILY 30VAN;Agosto;17/07/2026;27/07/2026
UCM5J77;SMG3 - Pouso Alegre;MG;Van;TKS;DAILY 30VAN;Setembro;11/09/2026;
UCM5J76;SMG3 - Pouso Alegre;MG;Van;TKS;DAILY 30VAN;Setembro;11/09/2026;
UCL8B30;SMG3 - Pouso Alegre;MG;Van;TKS;DAILY 30VAN;Setembro;11/09/2026;
UCL7J83;SMG3 - Pouso Alegre;MG;Van;TKS;DAILY 30VAN;Setembro;11/09/2026;
UCL8B44;SMG3 - Pouso Alegre;MG;Van;TKS;DAILY 30VAN;Setembro;11/09/2026;
UCL8B10;SMG3 - Pouso Alegre;MG;Van;TKS;DAILY 30VAN;Setembro;11/09/2026;
UCL7J84;SMG3 - Pouso Alegre;MG;Van;TKS;DAILY 30VAN;Setembro;11/09/2026;
UCL8A66;SMG3 - Pouso Alegre;MG;Van;TKS;DAILY 30VAN;Setembro;11/09/2026;
UCM5G87;SRJ10 - RJ Taquara (Barra);RJ/ES;Van;TKS;DAILY 30VAN;Setembro;30/09/2026;
TZQ7B51;SRJ7 - Macaé;RJ/ES;Utilitário;Vamos;FIORINO ENDURANCE 1.3 FLEX 002 PASSAGEIROS;Junho;04/07/2026;03/07/2026
XXX3539;SRJ7 - Macaé;RJ/ES;Van;Vamos;;Setembro;;
TZQ7B52;SRJ7 - Macaé;RJ/ES;Utilitário;Vamos;FIORINO ENDURANCE 1.3 FLEX 002 PASSAGEIROS;Julho;04/07/2026;03/07/2026
TZQ7B53;SRJ7 - Macaé;RJ/ES;Utilitário;Vamos;FIORINO ENDURANCE 1.3 FLEX 002 PASSAGEIROS;Julho;04/07/2026;03/07/2026
TZV1E86;SRJ8 - Itaboraí (Niterói);RJ/ES;Van;Vamos;DUCATO MAXCARGO 13m³ 2.2 MEC DIESEL;Julho;04/07/2026;01/07/2026
TZV1E88;SRJ8 - Itaboraí (Niterói);RJ/ES;Van;Vamos;DUCATO MAXCARGO 13m³ 2.2 MEC DIESEL;Julho;14/07/2026;11/07/2026
